Label,Video,Shuffle,Speaker,Party,Activation,Sentiment,englishHansard
0000618,2016 05 20 7,0.000342,"Ms. Sheri Benson (Saskatoon West, NDP)",NDP,6,4,"Will the government commit to introducing proactive pay equity legislation within the next six months, yes or no?"
0000415,2016 12 07 4,0.003499,"Mr. Nathan Cullen (Skeena—Bulkley Valley, NDP)",NDP,8,3,"First, the minister threw the committee under the bus, and now the Liberals are trying to blame us for their terrible survey. "
0000356,2017 02 15 5,0.005166,"Mr. T.J. Harvey (Tobique—Mactaquac, Lib.)",LIB,3,7,Could the Parliamentary Secretary to the Minister of Agriculture and Agri-Food please inform the House on what he is doing to support youth in agriculture across this country?
0000388,2017 02 02 7,0.005428,"Hon. Kirsty Duncan (Minister of Science, Lib.)",LIB,5,5, This contract fell below that amount and the granting council made a decision.
0000016,2017 12 08 5,0.008549,Jean-Yves Duclos,LIB,5,7,We have been working very hard over the past two years to make a number of benefits more flexible and more generous.
0000879,2015 05 15 8,0.010384,"Ms. Lise St-Denis (Saint-Maurice—Champlain, Lib.)",LIB,6,5,"Mr. Speaker, for 40 years Quebec Native Women has been standing up for abused aboriginal women."
0000854,2015 06 01 3,0.010982,"Hon. Steven Blaney (Minister of Public Safety and Emergency Preparedness, CPC)",CPC,3,7,"While training and procurement are matters that fall under the direct purview of the RCMP, our government supports Canada's law enforcement agencies with legislative tools, resources like we find in budget 2015, that the member could support, which they need to get the job done, fighting crime and ensuring the safety and security of our communities."
0000405,2016 12 12 4,0.011125,"Hon. Ralph Goodale (Minister of Public Safety and Emergency Preparedness, Lib.)",LIB,6,8,"With respect to the issue of torture, as all members of the House know, it is contrary to the Criminal Code, it is contrary to the Canadians Charter of Rights and Freedoms, it is contrary to virtually every treaty this country has ever signed. We will be faithful to the values of Canadians."
0000100,2017 10 30 9,0.013050,Diane Lebouthillier,LIB,4,7,Our plan is working. 
0000241,2017 05 15 0,0.014525,Amarjeet Sohi,LIB,3,6,"There will be different layers of accountability, and due diligence will be done every step of the way when we engage with the infrastructure bank or with the private sector."
0000093,2017 10 30 2,0.014819,Helene Laverdiere,NDP,7,4,"When will this government do what it promised, what the UN has asked for, what the rest of the world expects from Canada and—"
0000105,2017 10 25 4,0.016359,Justin Trudeau,LIB,4,7,"The reality, however, is that we have a Conflict of Interest and Ethics Commissioner who makes sure all MPs follow the rules and follow her advice."
0000591,2016 06 07 0,0.016878,"Mr. Blake Richards (Banff—Airdrie, CPC)",CPC,7,3,"Politicians making the decision, or will the minister actually drop the talking points and leave this decision directly in the hands of Canadians through a referendum?"
0000802,2015 12 07 1,0.017470,"Mr. Gérard Deltell (Louis-Saint-Laurent, CPC)",CPC,6,4,Why is our government neglecting Canadian entrepreneurs?
0000891,2015 04 29 0,0.017903,"Mr. Paul Calandra (Parliamentary Secretary to the Prime Minister and for Intergovernmental Affairs, CPC)",CPC,5,7, I would encourage him to do the right thing for taxpayers and pay the money back.
0000638,2016 05 12 7,0.019210,"Mr. Todd Doherty (Cariboo—Prince George, CPC)",CPC,3,6,"Mr. Speaker, it was the Conservative government that put an end to the longest and most costly trade disagreement in history with the softwood lumber agreement."
0000599,2016 06 07 8,0.019649,"Hon. Mélanie Joly (Minister of Canadian Heritage, Lib.)",LIB,3,7,"Mr. Speaker, I assure my colleague that our two official languages are very important to this government. "
0000030,2017 12 05 9,0.021385,Harjitt S. Sajjan,LIB,4,8,"In terms of the timeline that it has taken, the interim gap that needs to be filled, Davie shipyard is building that interim capability gap, and we thank them for that service."
0000858,2015 06 01 7,0.022379,"Mr. Jasbir Sandhu (Surrey North, NDP)",NDP,5,3,"Immediate action is needed, but the Conservatives are stalling and refusing to commit to a timeline for the arrival of new RCMP officers in Surrey."
0000002,2017 12 13 1,0.022720,Justin Trudeau,LIB,5,5,I hope they will be getting better than that in the coming year.
0000054,2017 11 23 3,0.023205,Sonia Sidhu,LIB,6,7,I appreciate the time the Minister of National Revenue and her parliamentary secretary took to meet with me to discuss the situation and to allow me to share the concerns I have heard.
0000695,2016 04 11 4,0.023707,"Hon. Lisa Raitt (Milton, CPC)",CPC,6,3,Can the Minister of Finance tell us today which taxes he is actually going to raise on us?
0000650,2016 05 09 9,0.025797,"Hon. Jim Carr (Minister of Natural Resources, Lib.)",LIB,2,6,"  It is very clear to all Canadians the way in which we will proceed, which is principled with a predictability of timing and with meaningful consultation with aboriginal peoples."
0000097,2017 10 30 6,0.025962,Diane Lebouthillier,LIB,5,8,Our government has granted a record number of people with mental illness access to the disability tax credit.
0000250,2017 05 15 9,0.026765,Jim Carr,LIB,5,6,The proposed near surface disposal facility at the Chalk River site would house low and intermediate level materials to ensure they are safe in long-term storage.
0000904,2015 04 24 3,0.026823,"Hon. K. Kellie Leitch (Minister of Labour and Minister of Status of Women, CPC)",CPC,6,4,The NDP totally opposed all those things.
0000975,2015 02 25 4,0.027681,"Mr. Nathan Cullen (Skeena—Bulkley Valley, NDP)",NDP,6,3, How can Conservative priorities be so out of whack and offline with what Canadians actually need and deserve?
0000169,2017 09 22 8,0.028092,Sean Casey,LIB,3,7,Those are tangible actions that support our artists without further taxing the middle class.
0000218,2017 06 06 7,0.029323,Dominic Leblanc,LIB,5,8,We will continue to protect fish habitat and work with the volunteer groups in that province and all across the country that do such outstanding work.
0000019,2017 12 08 8,0.029422,Kristy Duncan,LIB,2,8,"By increasing diversity, we bring different experiences, ideas, and perspectives to advance Canadian science, grow the economy, and improve the lives of Canadians."
0000674,2016 04 19 3,0.030417,"Right Hon. Justin Trudeau (Prime Minister, Lib.)",LIB,5,5,We will not cancel an existing contract.
0000876,2015 05 15 5,0.031283,"Mr. Paul Dewar (Ottawa Centre, NDP)",NDP,7,3," Mr. Speaker, no one disagrees with the idea of the memorial, but what is with the high-handed attitude of the government?"
0000266,2017 05 05 5,0.033412,"Ms. Yvonne Jones (Parliamentary Secretary to the Minister of Indigenous and Northern Affairs, Lib.)",LIB,3,6,"Our goal is to make sure that we have clean drinking water in all indigenous communities by 2021 in Canada, and we are going to work hard to meet that goal."
0000819,2015 06 17 8,0.034376,"Ms. Christine Moore (Abitibi—Témiscamingue, NDP)",NDP,6,3,"Since then, not only have the Conservatives not followed Health Canada's recommendations, which would result in health care savings of $9 billion, but even worse they decided to abandon the regulations, which were expected in 2010."
0000077,2017 11 07 6,0.034431,Marilyn Gladu,CPC,7,4,When will the minister finally tell her tax collectors to lay off sick and vulnerable Canadians and focus on real tax cheats?
