,IDMain,countedWords,date,english,floor,french,label,party,seconds,sentencePolarity,sentiment,speaker,timeStamp,wordPolaritySummed,youTube
0,2017 12 13 0,13,2017-12-13,"I thought we usually hired an investigator to get to the bottom of a crime, not to cover the offender's tracks.","Moi, je pensais qu'on embauchait d'habitude un enquêteur pour faire toute la lumière sur un crime, et non pas pour en effacer les traces.",1,1,NDP,6.45,0.42446697470066813,-0.42446697470066813,Alexandre Boulerice,9M 12S,0.6814075870705503,https://youtu.be/6p2IWa2rfO4
1,2017 12 13 1,8,2017-12-13,I hope they will be getting better than that in the coming year.,I hope they will be getting better than that in the coming year.,0,2,LIB,3.48,0.24078306006932895,0.24078306006932895,Justin Trudeau,11M 14S,0.40889706984827556,https://youtu.be/k-r7cKCu1bI
2,2017 12 13 2,16,2017-12-13,"We told Canadians that we would run deficits, so we could grow the economy and put more money in the pockets of Canadians who needed it.","We told Canadians that we would run deficits, so we could grow the economy and put more money in the pockets of Canadians who needed it.",0,3,LIB,7.5,0.12720028027355768,0.12720028027355768,Justin Trudeau,13M 41S,0.7466908314059505,https://youtu.be/zUqZsnLbFlc
3,2017 12 13 3,30,2017-12-13,"The problem was that they fired 700 people in order to book the savings they were counting on so they could magically balance the budget just in time for the election, to try to save their skins from their terrible economic performance over the past 10 years.","The problem was that they fired 700 people in order to book the savings they were counting on so they could magically balance the budget just in time for the election, to try to save their skins from their terrible economic performance over the past 10 years.",0,4,LIB,21.46,1.025145875554829,-1.025145875554829,Justin Trudeau,14M 33S,1.6113229068315766,https://youtu.be/O_f9JztOy18
4,2017 12 13 4,7,2017-12-13,"We did not create the Phoenix problem, but we are going to fix it.","We did not create the Phoenix problem, but we are going to fix it.",0,5,LIB,5.25,0.19947424108561657,-0.19947424108561657,Justin Trudeau,15M 9S,0.4119694504687296,https://youtu.be/d2ZUaGqybPc
5,2017 12 13 5,25,2017-12-13,"Let us take a look at the record: strategic airlift craft, Hercules tactical airlift craft, Chinook helicopters, upgraded Aurora surveillance planes, and modernized Halifax-class frigates for our navy. ","Let us take a look at the record: strategic airlift craft, Hercules tactical airlift craft, Chinook helicopters, upgraded Aurora surveillance planes, and modernized Halifax-class frigates for our navy. ",0,6,CON,11.08,1.4173310283970622,1.4173310283970622,Andrew Scheer,17M 7S,1.6221176281105727,https://youtu.be/p4DcQTzhSws
6,2017 12 13 6,4,2017-12-13,We have improved the benefits they receive.,We have improved the benefits they receive.,0,7,LIB,2.26,0.26995683933741277,0.26995683933741277,Justin Trudeau,18M 50S,0.2914757759842489,https://youtu.be/eTHCqwXHF0o
7,2017 12 13 7,16,2017-12-13,Do the Liberals not agree that investigations already started need to continue under the new commissioner or do they believe they are above the law?,Do the Liberals not agree that investigations already started need to continue under the new commissioner or do they believe they are above the law?,0,8,NDP,10.04,0.06674572040459938,0.06674572040459938,Irene Mathyssen,28M 47S,0.7452899133786558,https://youtu.be/1GTU-oDXfow
8,2017 12 13 8,14,2017-12-13,"Mr. Speaker, the finance minister's main role is to manage finances, the money that Canadians worked hard to earn.","Monsieur le Président, le premier rôle d'un ministre des Finances est justement de gérer les finances, l'argent que les Canadiens et les Canadiennes ont gagné durement.",1,9,CON,7.09,0.44288521942923714,0.44288521942923714,Alain Rayes,34M 28S,0.659154916496066,https://youtu.be/QJ4e0ipkMR0
9,2017 12 13 9,15,2017-12-13,"Mr. Speaker, women who have undergone female genital mutilation suffer infections, difficult urination and childbirth, pain during intercourse, and more.","Mr. Speaker, women who have undergone female genital mutilation suffer infections, difficult urination and childbirth, pain during intercourse, and more.",0,10,CON,7.31,0.6558489194472454,-0.6558489194472454,Michelle Rempell,42M 48S,1.032631377722802,https://youtu.be/9mlgF5vtt9Y
