"Label","Date","ID_main","youTube","timeStamp","Speaker","French","party","seconds","english","floor","lexiProcessed","sentiment_lsd","sentiment_jockers_rinker","sentiment_sentiwordnet","sentiment_huliu"
1,"2017-12-13","2017 12 13 0","https://youtu.be/6p2IWa2rfO4","9M 12S","Alexandre Boulerice",1,"NDP","6.45","I thought we usually hired an investigator to get to the bottom of a crime, not to cover the offender's tracks.","Moi, je pensais qu'on embauchait d'habitude un enquêteur pour faire toute la lumière sur un crime, et non pas pour en effacer les traces.","I thought we usually hired an investigator to get to the bottom of a crime , not cover the offender ' s tracks .",-1,-0.135016192015834,-0.105192503534758,-0.215425907225334
2,"2017-12-13","2017 12 13 1","https://youtu.be/k-r7cKCu1bI","11M 14S","Justin Trudeau",0,"LIB","3.48","I hope they will be getting better than that in the coming year.","I hope they will be getting better than that in the coming year.","I hope they will be getting better than that in the coming year .",1,0.208439045408553,0.489511178673329,0.204629329533233
3,"2017-12-13","2017 12 13 2","https://youtu.be/zUqZsnLbFlc","13M 41S","Justin Trudeau",0,"LIB","7.5","We told Canadians that we would run deficits, so we could grow the economy and put more money in the pockets of Canadians who needed it.","We told Canadians that we would run deficits, so we could grow the economy and put more money in the pockets of Canadians who needed it.","We told Canadians that we would run deficits , so we could grow the economy and put more money in the pockets of Canadians who needed it .",-1,0.213124095922733,-0.0370152222193186,0
4,"2017-12-13","2017 12 13 3","https://youtu.be/O_f9JztOy18","14M 33S","Justin Trudeau",0,"LIB","21.46","The problem was that they fired 700 people in order to book the savings they were counting on so they could magically balance the budget just in time for the election, to try to save their skins from their terrible economic performance over the past 10 years.","The problem was that they fired 700 people in order to book the savings they were counting on so they could magically balance the budget just in time for the election, to try to save their skins from their terrible economic performance over the past 10 years.","The problem was that they fired 700 people in order to book the savings they were counting on so they could magically balance the budget just in time for the election , to try to save their skins from their terrible economic performance over the past 10 years .",-0.333333333333333,-0.0315168293650586,-0.226850192171733,-0.147480780952281
5,"2017-12-13","2017 12 13 4","https://youtu.be/d2ZUaGqybPc","15M 9S","Justin Trudeau",0,"LIB","5.25","We did not create the Phoenix problem, but we are going to fix it.","We did not create the Phoenix problem, but we are going to fix it.","We did not create the Phoenix problem , but we are going to fix it .",0,0.0240646075986881,-0.335360734212484,0.197222131779267
6,"2017-12-13","2017 12 13 5","https://youtu.be/p4DcQTzhSws","17M 7S","Andrew Scheer",0,"CON","11.08","Let us take a look at the record: strategic airlift craft, Hercules tactical airlift craft, Chinook helicopters, upgraded Aurora surveillance planes, and modernized Halifax-class frigates for our navy. ","Let us take a look at the record: strategic airlift craft, Hercules tactical airlift craft, Chinook helicopters, upgraded Aurora surveillance planes, and modernized Halifax-class frigates for our navy. ","Let us take a look at the record : strategic airlift craft , Hercules tactical airlift craft , Chinook helicopters , upgraded Aurora surveillance planes , and modernized Halifax - class frigates for our navy .",1,0.117598482994563,0.0519943679538784,0.0753971129712278
7,"2017-12-13","2017 12 13 6","https://youtu.be/eTHCqwXHF0o","18M 50S","Justin Trudeau",0,"LIB","2.26","We have improved the benefits they receive.","We have improved the benefits they receive.","We have improved the benefits they receive .",1,0.381546610230247,0.127805432290309,0.556
8,"2017-12-13","2017 12 13 7","https://youtu.be/1GTU-oDXfow","28M 47S","Irene Mathyssen",0,"NDP","10.04","Do the Liberals not agree that investigations already started need to continue under the new commissioner or do they believe they are above the law?","Do the Liberals not agree that investigations already started need to continue under the new commissioner or do they believe they are above the law?","Do the Liberals not agree that investigations already started need to continue under the new commissioner or do they believe they are above the law ?",0.5,0.0815465354350289,-0.166278088794417,0
9,"2017-12-13","2017 12 13 8","https://youtu.be/QJ4e0ipkMR0","34M 28S","Alain Rayes",1,"CON","7.09","Mr. Speaker, the finance minister's main role is to manage finances, the money that Canadians worked hard to earn.","Monsieur le Président, le premier rôle d'un ministre des Finances est justement de gérer les finances, l'argent que les Canadiens et les Canadiennes ont gagné durement.","Mr . Speaker , the finance minister ' s main role is to manage finances , the money that Canadians worked hard to earn .",-1,0.185786425375584,-0.23693045176397,0
10,"2017-12-13","2017 12 13 9","https://youtu.be/9mlgF5vtt9Y","42M 48S","Michelle Rempell",0,"CON","7.31","Mr. Speaker, women who have undergone female genital mutilation suffer infections, difficult urination and childbirth, pain during intercourse, and more.","Mr. Speaker, women who have undergone female genital mutilation suffer infections, difficult urination and childbirth, pain during intercourse, and more.","Mr . Speaker , women who have undergone female genital mutilation suffer infections , difficult urination and childbirth , pain during intercourse , and more .",-1,-0.614388270237678,-0.53482772695137,-0.879884685713688
11,"2017-12-08","2017 12 08 0","https://youtu.be/6iOcS52-Ljw","1M 25S","Pierre Poilievre",0,"CPC","3.17","He then raised it back up to 10.5%","He then raised it back up to 10.5%","He then raised it back up to 10 . 5%",NA,0,0.191208148435464,0
