Label,Shuffle,Speaker,Party,Activation,Sentiment,englishHansard
0000942,0.339727,"Right Hon. Stephen Harper (Prime Minister, CPC)",CPC,6,3,"I hear no compelling argument on the other side as to why we should completely ignore the very real threat to this country, which Canadians know exists."
0000358,0.992077,"Hon. Judy Foote (Minister of Public Services and Procurement, Lib.)",LIB,6,3,"Mr. Speaker, while the government's payroll system ensures that 300,000 employees get paid every two weeks, there are public service employees who are experiencing pay difficulties in some categories, and that is totally unacceptable. "
0000707,0.128226,"Ms. Pam Goldsmith-Jones (Parliamentary Secretary to the Minister of Foreign Affairs, Lib.)",LIB,4,7,"We are committed to holding perpetrators of such serious international crimes to account; and our new, strong, three-year anti-ISIL strategy seeks to address the ongoing crisis in Iraq and the destabilizing impacts on Lebanon, Jordan, and Syria."
0000711,0.761727,"Right Hon. Justin Trudeau (Prime Minister, Lib.)",LIB,5,9,"The House, linguistic minorities, and all of Canada thank you for your passion and your service."
0000889,0.456428,"Hon. Pierre Poilievre (Minister of Employment and Social Development and Minister for Democratic Reform, CPC)",CPC,5,3,The Liberals are really scrambling today after it having been revealed that there are billions of dollars in uncosted spending in their plan.
0000032,0.151764,Ruth Ellen Brosseau,NDP,2,5,"Yesterday, the Liberals released the names of their picks for the positions of official languages and lobbying commissioner. "
0000557,0.345810,"Ms. Cheryl Hardcastle (Windsor—Tecumseh, NDP)",NDP,6,2,"Therefore, why do the Liberals still sanction the use of information obtained through torture?"
0000548,0.480620,"Hon. Jane Philpott (Minister of Health, Lib.)",LIB,2,4,"Mr. Speaker, to compare the approach of this government with the approach of the previous Conservative government on the matter of federal-provincial-territorial relations on health is a misrepresentation of the facts."
0000547,0.189666,"Mr. Don Davies (Vancouver Kingsway, NDP)",NDP,6,2,"Will the Liberals abandon Stephen Harper's funding cuts, quit using Conservative talking points, and negotiate fairly with the provinces to protect Canada's public health care system?"
0000343,0.411163,"Right Hon. Justin Trudeau (Prime Minister, Lib.)",LIB,4,7,"Mr. Speaker, Canadians expect their government to do two things: to stand up for Canadian values and continue to talk about the openness and the strength with which we engage with the world and also to have a strong working relationship with the American government and officials"
0000053,0.721278,Rachel Blaney,NDP,3,5,"Mr. Speaker, yesterday, the Liberal government finally announced its housing strategy—"
0000008,0.239702,Irene Mathyssen,NDP,8,1,Do the Liberals not agree that investigations already started need to continue under the new commissioner or do they believe they are above the law?
0000846,0.018833,"Hon. Chris Alexander (Minister of Citizenship and Immigration, CPC)",CPC,5,2,The New Democrats are irresponsible on these and other issues.
0000712,0.448781,"Hon. Rona Ambrose (Leader of the Opposition, CPC)",CPC,6,4,"Mr. Speaker, tonight, the Prime Minister is going to be in Washington with his pals at the Center for American Progress. "
0000414,0.333665,"Hon. Candice Bergen (Portage—Lisgar, CPC)",CPC,7,1," Is there anyone on that side of the House who has the courage to stand up for what is right, and tell the Prime Minister to stop this corrupt fundraising?"
0000666,0.617130,"Ms. Christine Moore (Abitibi—Témiscamingue, NDP)",NDP,7,4,This is not complicated. 
0000660,0.032467,"Mr. Rhéal Fortin (Rivière-du-Nord, BQ)",BQ,6,4,"Will the government, which includes 40 MPs from Quebec, nine of which are members of the Barreau du Québec, amend Bill C-14 to address the gaps outlined by the Barreau du Québec?"
0000510,0.695749,"Hon. Jody Wilson-Raybould (Minister of Justice and Attorney General of Canada, Lib.)",LIB,2,8,"What we have done is institute an open and transparent process for judicial appointments and, unprecedentedly, have put online application forms wherein anyone can apply to be on the Judicial Advisory Committee."
