Label,Date,ID_main,youTube,timeStamp,Speaker,French,party,seconds,english,floor,preprocessed,svm_imdb,fasttext_imbd,fasttext_imbdWeight,svm_stanford,fasttext_stanford,fasttext_stanfordWeights,liwc,vader,svm_imdb_probability
1,2017-12-13,2017 12 13 0,https://youtu.be/6p2IWa2rfO4,9M 12S,Alexandre Boulerice,1,NDP,6.45,"I thought we usually hired an investigator to get to the bottom of a crime, not to cover the offender's tracks.","Moi, je pensais qu'on embauchait d'habitude un enquêteur pour faire toute la lumière sur un crime, et non pas pour en effacer les traces.", think usually hire investigator crime cover offender 's track,Negative,Negative,-0.50381106,Negative,Positive,0.71423668,3.181818181818182,1.408,0.47364563064545817
2,2017-12-13,2017 12 13 1,https://youtu.be/k-r7cKCu1bI,11M 14S,Justin Trudeau,0,LIB,3.48,I hope they will be getting better than that in the coming year.,I hope they will be getting better than that in the coming year., hope get good coming year,Positive,Positive,0.99650115,Positive,Positive,0.7812553,6.8531468531468525,8.5015,0.8085454359136034
3,2017-12-13,2017 12 13 2,https://youtu.be/zUqZsnLbFlc,13M 41S,Justin Trudeau,0,LIB,7.5,"We told Canadians that we would run deficits, so we could grow the economy and put more money in the pockets of Canadians who needed it.","We told Canadians that we would run deficits, so we could grow the economy and put more money in the pockets of Canadians who needed it.", tell canadians run deficit grow economy money pocket canadians need,Negative,Negative,-0.97142863,Negative,Negative,-0.90549111,3.181818181818182,2.9905000000000004,0.1639168243871948
4,2017-12-13,2017 12 13 3,https://youtu.be/O_f9JztOy18,14M 33S,Justin Trudeau,0,LIB,21.46,"The problem was that they fired 700 people in order to book the savings they were counting on so they could magically balance the budget just in time for the election, to try to save their skins from their terrible economic performance over the past 10 years.","The problem was that they fired 700 people in order to book the savings they were counting on so they could magically balance the budget just in time for the election, to try to save their skins from their terrible economic performance over the past 10 years.",the problem fire 700 people order book saving count magically balance budget time election try save skin terrible economic performance past 10 year,Negative,Negative,-0.99083436,Negative,Negative,-0.72370392,3.5064935064935066,1.9379999999999997,0.026452268064627204
5,2017-12-13,2017 12 13 4,https://youtu.be/d2ZUaGqybPc,15M 9S,Justin Trudeau,0,LIB,5.25,"We did not create the Phoenix problem, but we are going to fix it.","We did not create the Phoenix problem, but we are going to fix it.", create phoenix problem go fix,Negative,Negative,-0.97341651,Negative,Positive,0.7023558,4.772727272727273,4.2345,0.2570058495153326
6,2017-12-13,2017 12 13 5,https://youtu.be/p4DcQTzhSws,17M 7S,Andrew Scheer,0,CON,11.08,"Let us take a look at the record: strategic airlift craft, Hercules tactical airlift craft, Chinook helicopters, upgraded Aurora surveillance planes, and modernized Halifax-class frigates for our navy. ","Let us take a look at the record: strategic airlift craft, Hercules tactical airlift craft, Chinook helicopters, upgraded Aurora surveillance planes, and modernized Halifax-class frigates for our navy. ",let look record strategic airlift craft hercules tactical airlift craft chinook helicopter upgrade aurora surveillance plane modernize halifax class frigate navy   ,Positive,Negative,-0.63804138,Positive,Positive,0.75311518,4.0548780487804885,5.0,0.7297578908776907
7,2017-12-13,2017 12 13 6,https://youtu.be/eTHCqwXHF0o,18M 50S,Justin Trudeau,0,LIB,2.26,We have improved the benefits they receive.,We have improved the benefits they receive., improve benefit receive,Positive,Negative,-0.57118672,Positive,Positive,0.94600695,5.170454545454547,8.548,0.5222055534572914
8,2017-12-13,2017 12 13 7,https://youtu.be/1GTU-oDXfow,28M 47S,Irene Mathyssen,0,NDP,10.04,Do the Liberals not agree that investigations already started need to continue under the new commissioner or do they believe they are above the law?,Do the Liberals not agree that investigations already started need to continue under the new commissioner or do they believe they are above the law?,do liberals agree investigation start need continue new commissioner believe law,Negative,Negative,-0.97344309,Negative,Positive,0.73688042,3.181818181818182,6.806,0.2354315903762643
9,2017-12-13,2017 12 13 8,https://youtu.be/QJ4e0ipkMR0,34M 28S,Alain Rayes,1,CON,7.09,"Mr. Speaker, the finance minister's main role is to manage finances, the money that Canadians worked hard to earn.","Monsieur le Président, le premier rôle d'un ministre des Finances est justement de gérer les finances, l'argent que les Canadiens et les Canadiennes ont gagné durement.",mr. speaker finance minister 's main role manage finance money canadians work hard earn,Negative,Negative,-0.87771523,Negative,Negative,-0.5126583,3.730407523510972,4.4864999999999995,0.15578355858465076
10,2017-12-13,2017 12 13 9,https://youtu.be/9mlgF5vtt9Y,42M 48S,Michelle Rempell,0,CON,7.31,"Mr. Speaker, women who have undergone female genital mutilation suffer infections, difficult urination and childbirth, pain during intercourse, and more.","Mr. Speaker, women who have undergone female genital mutilation suffer infections, difficult urination and childbirth, pain during intercourse, and more.",mr. speaker woman undergo female genital mutilation suffer infection difficult urination childbirth pain intercourse,Negative,Negative,-0.94756109,Negative,Negative,-0.9761579,1.9474921630094046,0.7405,0.24611077157738487
