Label,Shuffle,Speaker,Party,Activation,Sentiment,englishHansard
0000559,0.001262,"Hon. Jane Philpott (Minister of Health, Lib.)",LIB,5,3,There is no definitive medical test for thalidomide exposure.
0000859,0.002109,"Hon. Steven Blaney (Minister of Public Safety and Emergency Preparedness, CPC)",CPC,8,8,I am proud to stand up with members who are supportive of preventing gang violence in Surrey with programs that have proven efficient and who work with the Government of British Columbia and the school board.
0000595,0.003284,"Mr. François Choquette (Drummond, NDP)",NDP,7,2,"Mr. Speaker, today the Commissioner of Official Languages tabled a scathing report on Air Canada."
0000628,0.005361,"Hon. Jim Carr (Minister of Natural Resources, Lib.)",LIB,7,7,"Mr. Speaker, an independent group of distinguished western Canadians, all of whom will be known to those members, will, along with the regulator, assess the evidence that has been offered by Canadian people, evidence-based through the regulatory process, along with an assessment of upstream greenhouse gas emissions, along with meaningful consultation with indigenous communities, all of which must be in place if we are going to carry the confidence of Canadians."
0000535,0.005900,"M. François-Philippe Champagne (secrétaire parlementaire du ministre des Finances, Lib.)",LIB,7,7, I would say to my hon. colleague from Louis-Saint-Laurent that this government is acting like a responsible family man.
0000338,0.007503,"Hon. Ahmed Hussen (Minister of Immigration, Refugees and Citizenship, Lib.)",LIB,8,7,"Mr. Speaker, our government is proud of Canada's tradition of compassion toward those who are fleeing war and persecution."
0000048,0.008824,Karine Trudel,NDP,8,1," If the government did not know what it was doing when it implemented Phoenix, how can we expect it to fix this disaster?"
0000486,0.009430,"Mr. Charlie Angus (Timmins—James Bay, NDP)",NDP,7,2,The motion tomorrow specifically instructs the government to end the court cases against children who have been denied medical treatment. 
0000319,0.009449,"M. Pierre Paul-Hus (Charlesbourg—Haute-Saint-Charles, PCC)",CPC,7,3,"Now, Jean Boyle, a former general and the former vice president of international business at Boeing when the Super Hornet was being developed, is saying that NORAD will use its best planes, either the F-35 or the F-22, and not fourth generation jets like the Super Hornet, to protect the North."
0000827,0.010041,"Mr. Peter Braid (Parliamentary Secretary for Infrastructure and Communities, CPC)",CPC,6,7,"Of course, in our recent budget we announced the public transit fund."
0000498,0.010068,"Mr. Joël Godin (Portneuf—Jacques-Cartier, CPC)",CPC,6,3,but there has been no response from the Prime Minister.
0000028,0.012202,Diane Lebouthillier,LIB,6,8,"We will do so based on the principle of fairness for everyone who receives the disability tax credit, regardless of their disability."
0000791,0.012877,"Right Hon. Justin Trudeau (Prime Minister, Lib.)",LIB,6,8,"We encourage all members in the House to do that because it is a reflection of what Canadians asked for right across the country: investments in our future and in our communities, and help for the middle class by lowering taxes on the middle class and raising them for the wealthiest 1%."
0000520,0.013395,"Ms. Kamal Khera (Parliamentary Secretary to the Minister of Health, Lib.)",LIB,6,8,"That is exactly why the Minister of Health is sitting down with her provincial and territorial counterparts as we speak and collaborating with all our partners on health innovation, improved accessibility, and making prescription drugs more affordable for all Canadians."
0000996,0.013778,"Hon. Ed Fast (Minister of International Trade, CPC)",CPC,7,7,"Mr. Speaker, as I already mentioned, this government took the step of taking this dispute to the World Trade Organization, where we believe we will prevail."
0000583,0.013812,"Ms. Kamal Khera (Parliamentary Secretary to the Minister of Health, Lib.)",LIB,6,9,"Nearly 99% of pharmacy claims and 90% of the dental claims were approved, and more than 90% of the pharmacy claims were approved instantly at the point of the sale."
0000023,0.015212,Diane Lebouthillier,LIB,5,8,"As a social worker and as Minister of National Revenue, I have always worked on behalf of the most vulnerable people."
0000231,0.015520,Scott Brison,LIB,8,8,"Frankly, it is very important to continue to invest to stimulate economic growth and create jobs for the middle class across Canada."
0000332,0.015902,"Hon. Ahmed Hussen (Minister of Immigration, Refugees and Citizenship, Lib.)",LIB,6,8,"Mr. Speaker, our government is committed to maintaining a refugee system that maintains our tradition of providing compassion to those seeking safety and security in our country."
0000292,0.016154,"Hon. Diane Finley (Haldimand—Norfolk, CPC)",CPC,8,1,This is exactly what the Liberals are doing by giving $373 million of taxpayer money to Bombardier so it can pad its pockets with bonuses.
0000564,0.016413,"Mr. Mark Holland (Parliamentary Secretary to the Minister of Democratic Institutions, Lib.)",LIB,8,7,"I am very proud that more than 140 members of Parliament on this side of the House have either had, or will have in a very short while, town halls."
0000703,0.017438,"Mr. François-Philippe Champagne (Parliamentary Secretary to the Minister of Finance, Lib.)",LIB,8,7,"Mr. Speaker, I am very proud to say that the Minister of Financeand I went from coast to coast to coast to listen to Canadians."
0000308,0.018599,"Hon. Bill Morneau (Minister of Finance, Lib.)",LIB,5,6,We will consider ways of providing the necessary training for the good jobs of the future.
0000135,0.019559,Rachael Harder,CPC,5,5,"Mr. Speaker, Dina and Maurice are farmers in my riding."
0000857,0.020576,"Hon. Ed Fast (Minister of International Trade, CPC)",CPC,7,7," Mr. Speaker, the export contract that the member refers to is the largest in Canadian history and will create and sustain more than 3,000 direct jobs in southwestern Ontario alone."
0000930,0.021763,"M. François Pilon (Laval—Les Îles, NPD)",NDP,7,3,Will the government honour the City of Laval's request or will it plough ahead with the installation of community boxes?
0000896,0.022295,"Hon. John McKay (Scarborough—Guildwood, Lib.)",LIB,7,2,Will the current government advertise its $12-million cut for species at risk?
0000693,0.024363,"Hon. Dominic LeBlanc (Leader of the Government in the House of Commons, Lib.)",LIB,8,2,"As I have said on previous occasions, nobody on this side of the House has gone to prison for illegal fundraising, and that is something they are having trouble saying over there."
0000993,0.025917,"Mr. Justin Trudeau (Papineau, Lib.)",LIB,7,3,"Furthermore, Mr. Harper cut the budget by 23%—"
0000761,0.026073,"Right Hon. Justin Trudeau (Prime Minister, Lib.)",LIB,5,7,"It is actually important to follow up on them, give the tools to get things done, and execute them responsibly."
0000773,0.026544,"M. Andrew Scheer (Regina—Qu'Appelle, PCC)",CPC,7,3,"   Mr. Speaker, we cannot create jobs by inventing new barriers and new obstacles."
0000942,0.026634,"Right Hon. Stephen Harper (Prime Minister, CPC)",CPC,8,2,"I hear no compelling argument on the other side as to why we should completely ignore the very real threat to this country, which Canadians know exists."
0000143,0.027854,Bill Morneau,LIB,6,7,I have said that we will make sure that farmers are not negatively impacted. 
0000643,0.028622,"Hon. Candice Bergen (Portage—Lisgar, CPC)",CPC,7,2,They also need to know that the Minister of Natural Resourcesunderstands the serious implications of these oil productions being shut down.
0000614,0.028901,"Hon. Candice Bergen (Portage—Lisgar, CPC)",CPC,5,5,"Madam Speaker, yesterday, the National Energy Board recommended the Kinder Morgan pipeline project for approval."
0000823,0.030493,"Mr. Jonathan Genest-Jourdain (Manicouagan, NDP)",NDP,7,2,"In this case, the federal government clearly lacks political will, and the provinces are the ones showing the way. For example, Quebec recognized that residential schools were a form of cultural genocide against aboriginal nations. "
0000330,0.032648,"Ms. Elizabeth May (Saanich—Gulf Islands, GP)",GRN,7,10,"This has been brought into play by the bill I submitted in the 41st Parliament, unanimously supported in the House and the Senate, and continues to be strongly supported by members on all sides of this House."
0000171,0.033186,Thomas Mulcair,NDP,7,2," Obviously Canada is moving toward legalizing marijuana, and the NDP supports that, but the Liberals have left enormous gaps, and the bulk of the work is being left to the provinces"
0000596,0.034264,"Mr. François Choquette (Drummond, NDP)",NDP,7,3, Will the Liberals commit today to taking action to resolve this problem once and for all?
0000812,0.034441,"Mr. Justin Trudeau (Papineau, Lib.)",LIB,8,2,Why does the Prime Minister refuse to acknowledge the importance of having judges who understand our two official languages?
0000265,0.034625,"M. Joël Godin (Portneuf—Jacques-Cartier, PCC)",CPC,9,0,How can he continue to oversee the Department of National Defence after losing the respect of every member of the armed forces?
0000936,0.035196,"Ms. Linda Duncan (Edmonton—Strathcona, NDP)",NDP,9,1,"Will the minister, who has made this shameful, groundless insult to Alberta first nations, stand and apologize?"
0000649,0.037029,"Mr. Louis Plamondon (Bécancour—Nicolet—Saurel, BQ)",BQ,6,4,It urged the government to enforce the spirit and the letter of the cheese standards and to treat diafiltered milk as a dairy ingredient.
0000759,0.038600,"Mr. Greg Fergus (Parliamentary Secretary to the Minister of Innovation, Science and Economic Development, Lib.)",LIB,7,7,"owever, we recognize that the aerospace sector is a very important industry that relies heavily on exports and employs over 180,000 Canadians. It is very important—"
0000445,0.039548,"M. Pierre Paul-Hus (Charlesbourg—Haute-Saint-Charles, PCC)",CPC,8,0,"Combien de milliards de dollars — 4, 5, 6 ou 7 — les libéraux vont-ils brûler pour faire l'acquisition d'appareils inutiles?"
0000485,0.041192,"Mr. Charlie Angus (Timmins—James Bay, NDP)",NDP,8,2,"Mr. Speaker, with all due respect, reconciliation is not a hashtag. We are talking about a court order."
0000898,0.041486,"Mr. Randall Garrison (Esquimalt—Juan de Fuca, NDP)",NDP,7,1,"Now Stephen Toope, former dean of law at McGill, former UBC president, and currently the director of the Munk School of Global Affairs, has called Bill C-51:...so badly drafted, so expansive in scope, and so open to abuse that one must wonder how a responsible political leadership could bring it forward."
0000430,0.041583,"Hon. Marc Garneau (Minister of Transport, Lib.)",LIB,5,6,"Earlier this week, the government put out an RFP for a feasibility study on the possible use of event data recorders on commercial buses."
0000382,0.045247,"Hon. Jane Philpott (Minister of Health, Lib.)",LIB,6,8,"We will work together to address the opioid crisis in a manner that is comprehensive, evidence-based, and responds to the needs of Canadians."
0000166,0.045334,Sherry Ramanado,LIB,5,7,"The Canadian Armed Forces recognizes the importance of actively looking to recruit candidates with different views, experiences, and skill sets needed to meet the needs of our members. "
0000991,0.045411,"Right Hon. Stephen Harper (Prime Minister, CPC)",CPC,7,3,"Mr. Speaker, we believe that a large percentage of Quebeckers agree with our government on tax breaks, tax cuts, direct benefits to families and the fight against crime and terrorism, rather than with a party that wants to increase taxes, provides benefits to bureaucrats and unions, and does not take the fight against terrorists, jihadists and criminals seriously."
0000650,0.046075,"Hon. Jim Carr (Minister of Natural Resources, Lib.)",LIB,6,6,"  It is very clear to all Canadians the way in which we will proceed, which is principled with a predictability of timing and with meaningful consultation with aboriginal peoples."
0000924,0.046086,"Ms. Ève Péclet (La Pointe-de-l'Île, NDP)",NDP,7,2," The Information Commissioner was clear: “Although the Act was intended to shine a light on government decisions, it has become a shield against transparency and has encouraged a culture of delay.”"
0000576,0.047492,"Mr. Charlie Angus (Timmins—James Bay, NDP)",NDP,8,0,"Will the minister take responsibility for her office, and end this discriminatory and dangerous practice?"
