Label,Date,ID_main,youTube,timeStamp,Speaker,French,party,seconds,english,floor
1,2017-12-13,2017 12 13 0,https://youtu.be/6p2IWa2rfO4,9M 12S,Alexandre Boulerice,1,NDP,6.45,"I thought we usually hired an investigator to get to the bottom of a crime, not to cover the offender's tracks.","Moi, je pensais qu'on embauchait d'habitude un enquêteur pour faire toute la lumière sur un crime, et non pas pour en effacer les traces."
2,2017-12-13,2017 12 13 1,https://youtu.be/k-r7cKCu1bI,11M 14S,Justin Trudeau,0,LIB,3.48,I hope they will be getting better than that in the coming year.,I hope they will be getting better than that in the coming year.
3,2017-12-13,2017 12 13 2,https://youtu.be/zUqZsnLbFlc,13M 41S,Justin Trudeau,0,LIB,7.5,"We told Canadians that we would run deficits, so we could grow the economy and put more money in the pockets of Canadians who needed it.","We told Canadians that we would run deficits, so we could grow the economy and put more money in the pockets of Canadians who needed it."
4,2017-12-13,2017 12 13 3,https://youtu.be/O_f9JztOy18,14M 33S,Justin Trudeau,0,LIB,21.46,"The problem was that they fired 700 people in order to book the savings they were counting on so they could magically balance the budget just in time for the election, to try to save their skins from their terrible economic performance over the past 10 years.","The problem was that they fired 700 people in order to book the savings they were counting on so they could magically balance the budget just in time for the election, to try to save their skins from their terrible economic performance over the past 10 years."
5,2017-12-13,2017 12 13 4,https://youtu.be/d2ZUaGqybPc,15M 9S,Justin Trudeau,0,LIB,5.25,"We did not create the Phoenix problem, but we are going to fix it.","We did not create the Phoenix problem, but we are going to fix it."
6,2017-12-13,2017 12 13 5,https://youtu.be/p4DcQTzhSws,17M 7S,Andrew Scheer,0,CON,11.08,"Let us take a look at the record: strategic airlift craft, Hercules tactical airlift craft, Chinook helicopters, upgraded Aurora surveillance planes, and modernized Halifax-class frigates for our navy. ","Let us take a look at the record: strategic airlift craft, Hercules tactical airlift craft, Chinook helicopters, upgraded Aurora surveillance planes, and modernized Halifax-class frigates for our navy. "
7,2017-12-13,2017 12 13 6,https://youtu.be/eTHCqwXHF0o,18M 50S,Justin Trudeau,0,LIB,2.26,We have improved the benefits they receive.,We have improved the benefits they receive.
8,2017-12-13,2017 12 13 7,https://youtu.be/1GTU-oDXfow,28M 47S,Irene Mathyssen,0,NDP,10.04,Do the Liberals not agree that investigations already started need to continue under the new commissioner or do they believe they are above the law?,Do the Liberals not agree that investigations already started need to continue under the new commissioner or do they believe they are above the law?
9,2017-12-13,2017 12 13 8,https://youtu.be/QJ4e0ipkMR0,34M 28S,Alain Rayes,1,CON,7.09,"Mr. Speaker, the finance minister's main role is to manage finances, the money that Canadians worked hard to earn.","Monsieur le Président, le premier rôle d'un ministre des Finances est justement de gérer les finances, l'argent que les Canadiens et les Canadiennes ont gagné durement."
10,2017-12-13,2017 12 13 9,https://youtu.be/9mlgF5vtt9Y,42M 48S,Michelle Rempell,0,CON,7.31,"Mr. Speaker, women who have undergone female genital mutilation suffer infections, difficult urination and childbirth, pain during intercourse, and more.","Mr. Speaker, women who have undergone female genital mutilation suffer infections, difficult urination and childbirth, pain during intercourse, and more."
11,2017-12-08,2017 12 08 0,https://youtu.be/6iOcS52-Ljw,1M 25S,Pierre Poilievre,0,CPC,3.17,He then raised it back up to 10.5%,He then raised it back up to 10.5%
12,2017-12-08,2017 12 08 1,https://youtu.be/p4wadFvuA-Y,1M 40S,Pierre Poilievre,0,CPC,7.01,Now small businesses are expected to have faith in the government's idea of “reasonable”. ,Now small businesses are expected to have faith in the government's idea of “reasonable”. 
13,2017-12-08,2017 12 08 2,https://youtu.be/xShVjekgA1k,5M 13S,Gerard Deltell,1,CPC,4.14,I hope that the measures will be introduced next week at the latest so we can debate them here in the House.,"On souhaite que ce soit déposé à tout le moins la semaine prochaine, pour qu'on puisse en débattre ici, à la Chambre."
14,2017-12-08,2017 12 08 3,https://youtu.be/576VqCg2SWg,9M 38S,Marjolaine Boutin-Sweet,1,NDP,11.41," Mr. Speaker, yesterday we learned that after the Liberals forced their visions for housing and health care on the provinces, they are now planning to change the equalization calculations, without even consulting the provinces.","Monsieur le Président, nous avons appris hier qu'après avoir imposé leur vision en matière de logement et de santé aux provinces, les libéraux planifient maintenant de changer la façon de calculer la péréquation, sans même avoir consulté les provinces."
15,2017-12-08,2017 12 08 4,https://youtu.be/MyI7U-s_H-w,16M 25S,Sheri Benson,0,NDP,12.01,"Mr. Speaker, in Saskatchewan last weekend, the advance polls for the by-election in Battlefords—Lloydminster were taking place, yet there were no advance polls in any indigenous community. ","Mr. Speaker, in Saskatchewan last weekend, the advance polls for the by-election in Battlefords—Lloydminster were taking place, yet there were no advance polls in any indigenous community. "
16,2017-12-08,2017 12 08 5,https://youtu.be/YA-nuh7C6bI,18M 24S,Jean-Yves Duclos,1,LIB,6.54,We have been working very hard over the past two years to make a number of benefits more flexible and more generous.,Nous avons travaillé très fort au cours des deux dernières années pour mettre en place une plus grande souplesse et une plus grande générosité pour plusieurs de nos prestations
17,2017-12-08,2017 12 08 6,https://youtu.be/PLTtSaiqca0,29M 34S,Todd Doherty,0,CPC,8.01,"Mr. Speaker, since day one, we have been challenging the government to make securing a new softwood agreement its number one trade priority.","Mr. Speaker, since day one, we have been challenging the government to make securing a new softwood agreement its number one trade priority."
18,2017-12-08,2017 12 08 7,https://youtu.be/Hhq5EPlksJ0,35M 28S,Glen Motz,0,CPC,6.47,The government knows that hundreds of ISIS terrorists are returning after committing their atrocities like nothing ever happened.,The government knows that hundreds of ISIS terrorists are returning after committing their atrocities like nothing ever happened.
19,2017-12-08,2017 12 08 8,https://youtu.be/LGBTqrY3Y_A,38M 28S,Kristy Duncan,0,LIB,11.01,"By increasing diversity, we bring different experiences, ideas, and perspectives to advance Canadian science, grow the economy, and improve the lives of Canadians.","By increasing diversity, we bring different experiences, ideas, and perspectives to advance Canadian science, grow the economy, and improve the lives of Canadians."
20,2017-12-08,2017 12 08 9,https://youtu.be/IYaMMnZETFg,39M 36S,Arif Virani,0,Lib,8.34,"An inter-country adoption is often a long and complex process, and we understand the challenges that are faced by families. ","An inter-country adoption is often a long and complex process, and we understand the challenges that are faced by families. "
21,2017-12-05,2017 12 05 0,https://youtu.be/XyDqUdLGaJ8,9M 16S,Tracey Ramsey,0,NDP,13.56,"Mr. Speaker, once again, zero transparency from the government on whether it has decided to launch formal negotiations with China, just like the Prime Minister's trip to Vietnam where Canadians were left to wonder if the TPP negotiations were on the agenda or not.","Mr. Speaker, once again, zero transparency from the government on whether it has decided to launch formal negotiations with China, just like the Prime Minister's trip to Vietnam where Canadians were left to wonder if the TPP negotiations were on the agenda or not."
22,2017-12-05,2017 12 05 1,https://youtu.be/Q7DtrXjqeSY,9M 26S,Tracey Ramsey,0,NDP,2.53,Any trade deal must support Canadian jobs.,Any trade deal must support Canadian jobs.
23,2017-12-05,2017 12 05 2,https://youtu.be/qjDQRmdiqNQ,20M 19S,Diane Lebouthillier,1,LIB,7.15,"As a social worker and as Minister of National Revenue, I have always worked on behalf of the most vulnerable people.","Monsieur le Président, j'ai toujours travaillé pour les personnes les plus vulnérables comme travailleuse sociale et comme ministre du Revenu national."
24,2017-12-05,2017 12 05 3,https://youtu.be/nZhVWarvdno,25M 37S,Seamus O'Regan,0,LIB,10.5,"Mr. Speaker, as I have said many times in this House, as I did yesterday after the decision was rendered, we will be announcing our pension-for-life option before this House rises.","Mr. Speaker, as I have said many times in this House, as I did yesterday after the decision was rendered, we will be announcing our pension-for-life option before this House rises."
25,2017-12-05,2017 12 05 4,https://youtu.be/V2RBC5xMgN4,27M 27S,Mark Gerretsen,0,LIB,19.2,"Mr. Speaker, volunteers play a crucial role in Canadian society. In my riding of Kingston and the Islands, organizations like Martha's Table and St. Vincent de Paul volunteer to help build healthy and socially inclusive communities, not just by their actions but by the spirit of generosity that motivates them to create, support, and sustain non-profit and charitable organizations.","Mr. Speaker, volunteers play a crucial role in Canadian society. In my riding of Kingston and the Islands, organizations like Martha's Table and St. Vincent de Paul volunteer to help build healthy and socially inclusive communities, not just by their actions but by the spirit of generosity that motivates them to create, support, and sustain non-profit and charitable organizations."
26,2017-12-05,2017 12 05 5,https://youtu.be/8HO3DwtWp_g,28M 20S,Jean-Yves Duclos,0,LIB,13.07,"This year is a special year, because we are introducing Canada's volunteer awards for past and present winners who have given and will be giving their valuable time to support our communities.","This year is a special year, because we are introducing Canada's volunteer awards for past and present winners who have given and will be giving their valuable time to support our communities."
27,2017-12-05,2017 12 05 6,https://youtu.be/tr_aPhLBqyE,29M 16S,Marilyn Gladu,0,CPC,3.27,How can the minister continue to mislead Canadians?,How can the minister continue to mislead Canadians?
