Label,Video,Shuffle,Speaker,Party,Activation,Sentiment,englishHansard
0000746,2016 02 18 5,0.004013,"Mr. Andrew Scheer (Regina—Qu'Appelle, CPC)",CPC,6,2,"Mr. Speaker, yesterday the Minister of Finance dismissed the concerns of Saskatchewan and Alberta."
0000840,2015 06 09 9,0.004184,"Hon. Leona Aglukkaq (Minister of the Environment, CPC)",CPC,3,6,We are also putting the issue of microbeads on the agenda of this summer's meetings of the Canadian Council of Ministers of the Environment.
0000045,2017 11 28 4,0.005743,Kristy Duncan,LIB,6,8,Mr. Speaker our government is committed to creating open spaces for Canadians to debate and express their views.
0000360,2017 02 15 9,0.007269,"Hon. Jane Philpott (Minister of Health, Lib.): ",LIB,5,7,This initiative together with others shows that our government is fully implementing Jordan's principle.
0000308,2017 03 23 7,0.008820,"Hon. Bill Morneau (Minister of Finance, Lib.)",LIB,4,7,We will consider ways of providing the necessary training for the good jobs of the future.
0000468,2016 11 16 7,0.009497,"Hon. Marc Garneau (Minister of Transport, Lib.)",LIB,7,4,"Mr. Speaker, I would highly encourage my colleague across the way to read what we said in the oceans protection plan, because there is some very clear indication there, with respect to derelict and abandoned vessels, of a large number of initiatives that we are going to make in order to make owners accountable; also working with the provinces and territories as part of the mechanisms to clean up and, also in the long term, begin the process of cleaning up these hundreds of wrecks that are on our three coasts."
0000149,2017 10 02 8,0.009968,Xavier Barsalou-Duval,BQ,7,2,The Prime Minister always supports the winner when he wants to cloak himself in righteousness.
0000906,2015 04 24 5,0.010626,"Ms. Irene Mathyssen (London—Fanshawe, NDP)",NDP,6,3," Mr. Speaker, Ontario farmers are worried because avian flu has been confirmed on a second farm in Oxford County, and the quarantine now stretches into the Waterloo Region."
0000558,2016 09 23 7,0.011225,"Mrs. Cathay Wagantall (Yorkton—Melville, CPC)",CPC,6,3,"Instead of giving him a concrete promise to address his concerns, the Liberals instead said they would set up yet another consultative process to study the issue. "
0000886,2015 05 12 5,0.015439,"Mr. Emmanuel Dubourg (Bourassa, Lib.)",LIB,6,3," Mr. Speaker, there has been a great deal of concern in the Haitian community ever since the Conservative government lifted the moratorium on deportations to Haiti and Zimbabwe for over 3,500 people."
0000548,2016 09 28 7,0.016562,"Hon. Jane Philpott (Minister of Health, Lib.)",LIB,5,4,"Mr. Speaker, to compare the approach of this government with the approach of the previous Conservative government on the matter of federal-provincial-territorial relations on health is a misrepresentation of the facts."
0001014,2015 01 28 3,0.017238,"Right Hon. Stephen Harper (Prime Minister, CPC)",CPC,5,4,"Mr. Speaker, obviously I do not know the facts of this particular case, but whenever we lose a serving military officer or a former military member, it is a terrible thing, and our condolences go out to that family."
0000959,2015 03 12 8,0.018402,"Hon. Scott Brison (Kings—Hants, Lib.)",LIB,5,4,"Yet, Alberta's finance minister is set to deliver a budget on March 26."
0000287,2017 04 12 6,0.020690,"Mr. Scott Reid (Lanark—Frontenac—Kingston, CPC)",CPC,5,5,"  Yesterday, the Minister of Finance tabled a 308 page budget implementation act, which makes amendments to more than 20 different statutes."
0000732,2016 02 23 1,0.021484,"Hon. Bill Morneau (Minister of Finance, Lib.)",LIB,4,6,We will invest and this ratio will grow at a lower rate than in the past 10 years.
0000091,2017 10 30 0,0.024453,Andrew Scheer,CPC,7,3,I have a very simple question. Will the Prime Minister tell us who those other ministers are?
0000298,2017 04 07 7,0.026448,"Mr. Bernard Généreux (Montmagny—L'Islet—Kamouraska—Rivière-du-Loup, CPC)",CPC,8,2,"Given the already unacceptable delays in the court system, will the Minister of Justice get out of her bubble in Ottawa and Vancouver and quickly review the selection process to fill the empty positions in our regions, or would she rather see dangerous criminals released because of her failure to act, as we saw yesterday in Quebec?"
0000998,2015 02 17 7,0.028113,"Mr. Murray Rankin (Victoria, NDP)",NDP,5,4,"Recently, the spokesperson for the Thalidomide Victims Association said, “Members are starting to fear it was all a façade”."
0000898,2015 04 29 7,0.028369,"Mr. Randall Garrison (Esquimalt—Juan de Fuca, NDP)",NDP,6,2,"Now Stephen Toope, former dean of law at McGill, former UBC president, and currently the director of the Munk School of Global Affairs, has called Bill C-51:...so badly drafted, so expansive in scope, and so open to abuse that one must wonder how a responsible political leadership could bring it forward."
